x,y,z
-0.342988,-2.22452,0.302108
-0.333358,-2.22603,0.300863
-0.323722,-2.2275,0.299617
-0.31408,-2.22892,0.29837
-0.30346,-2.22932,0.300326
-0.301924,-2.22436,0.303379
-0.291925,-2.22273,0.301879
-0.292759,-2.22273,0.298843
-0.282332,-2.22402,0.300433
-0.272733,-2.22527,0.298987
-0.27466,-2.2342,0.29629
-0.275203,-2.23221,0.293349
-0.284311,-2.23294,0.297642
-0.294778,-2.23165,0.295875
-0.305395,-2.23724,0.297233
-0.302816,-2.23724,0.306794
-0.31245,-2.23585,0.308349
-0.322224,-2.23541,0.309925
-0.321327,-2.23739,0.314124
-0.320307,-2.23739,0.317537
-0.319356,-2.24531,0.324428
-0.30976,-2.24674,0.322438
-0.308254,-2.25169,0.329026
-0.310199,-2.25763,0.32602
-0.312237,-2.25664,0.319392
-0.321896,-2.2552,0.321288
-0.31982,-2.25619,0.328121
-0.317828,-2.25025,0.33122
-0.327395,-2.24877,0.333413
-0.329434,-2.2547,0.330221
-0.331549,-2.25371,0.323183
-0.329305,-2.23197,0.319216
-0.330193,-2.23098,0.315683
-0.33185,-2.23394,0.311478
-0.330689,-2.2201,0.307713
-0.331131,-2.21714,0.304219
-0.321255,-2.21662,0.302839
-0.321107,-2.22157,0.306269
-0.311377,-2.222,0.304805
-0.311957,-2.22002,0.301533
-0.312412,-2.24377,0.312556
-0.303858,-2.25308,0.311046
-0.294171,-2.25444,0.309354
-0.293574,-2.24155,0.305297
-0.291484,-2.24155,0.312186
-0.281865,-2.24286,0.3104
-0.284224,-2.24354,0.333316
-0.274753,-2.24484,0.33083
-0.275974,-2.26368,0.334296
-0.266445,-2.26495,0.331688
-0.255853,-2.25725,0.328809
-0.246351,-2.25843,0.326208
-0.236844,-2.25956,0.323607
-0.233653,-2.26155,0.331133
-0.22422,-2.26265,0.328227
-0.227332,-2.26066,0.321004
-0.217815,-2.26171,0.3184
-0.214782,-2.2637,0.32532
-0.214789,-2.25276,0.322727
-0.224211,-2.25171,0.32552
-0.233629,-2.25062,0.328312
-0.229966,-2.24068,0.333398
-0.220657,-2.24177,0.330401
-0.211344,-2.24281,0.327403
-0.217292,-2.23481,0.335301
-0.2265,-2.23373,0.338505
-0.235702,-2.2326,0.341708
-0.2449,-2.23144,0.344909
-0.254093,-2.23023,0.348109
-0.251428,-2.21932,0.350324
-0.249448,-2.21435,0.352758
-0.247235,-2.20741,0.355032
-0.23824,-2.20861,0.351581
-0.240389,-2.21556,0.34939
-0.242314,-2.22052,0.347044
-0.242604,-2.20067,0.341223
-0.243236,-2.19272,0.337769
-0.234126,-2.19387,0.334835
-0.2335,-2.20182,0.33816
-0.237751,-2.20281,0.329632
-0.237469,-2.21076,0.332414
-0.239906,-2.21175,0.327399
-0.249184,-2.21059,0.330044
-0.246686,-2.2096,0.335253
-0.246964,-2.20166,0.332364
-0.251702,-2.19947,0.344284
-0.252341,-2.19154,0.3407
-0.260074,-2.1794,0.343214
-0.25857,-2.18039,0.346633
-0.256379,-2.17345,0.349024
-0.254887,-2.17246,0.351667
-0.264823,-2.16822,0.351972
-0.267584,-2.17912,0.349666
-0.269123,-2.17813,0.346128
-0.279491,-2.18673,0.349445
-0.28857,-2.18537,0.352369
-0.297644,-2.18398,0.355291
-0.293024,-2.18497,0.365354
-0.284051,-2.18637,0.362124
-0.286883,-2.19626,0.359584
-0.289268,-2.20319,0.356905
-0.280154,-2.20456,0.353838
-0.274304,-2.20588,0.343762
-0.274572,-2.19795,0.340549
-0.278485,-2.19102,0.328678
-0.287754,-2.1897,0.331007
-0.289657,-2.21248,0.334805
-0.291997,-2.21248,0.328715
-0.298992,-2.21111,0.337256
-0.30932,-2.21662,0.339953
-0.318671,-2.21516,0.342408
-0.319872,-2.23197,0.346363
-0.310476,-2.23343,0.343791
-0.309999,-2.23937,0.347304
-0.307238,-2.23937,0.35383
-0.316573,-2.2379,0.356706
-0.31308,-2.22603,0.360169
-0.31137,-2.22702,0.364285
-0.308994,-2.22109,0.367221
-0.318439,-2.22156,0.370504
-0.320873,-2.22749,0.367479
-0.32262,-2.2265,0.363237
-0.315517,-2.21267,0.373383
-0.312415,-2.20279,0.376177
-0.310636,-2.20181,0.379349
-0.309228,-2.20378,0.38273
-0.320353,-2.20521,0.383067
-0.318614,-2.20521,0.386439
-0.317745,-2.21113,0.390121
-0.31615,-2.21212,0.393399
-0.313295,-2.20521,0.396246
-0.310699,-2.20027,0.399198
-0.301924,-2.20181,0.395295
-0.30446,-2.20674,0.392427
-0.306814,-2.2107,0.389485
-0.309099,-2.21465,0.386589
-0.297917,-2.21219,0.385749
-0.295618,-2.20824,0.388606
-0.293143,-2.2033,0.39139
-0.281922,-2.20277,0.390986
-0.284491,-2.20574,0.387541
-0.273187,-2.20418,0.386967
-0.275694,-2.20715,0.383629
-0.264447,-2.20555,0.382946
-0.266891,-2.20852,0.379715
-0.269954,-2.21941,0.377498
-0.271192,-2.21644,0.374527
-0.280106,-2.21507,0.37827
-0.278841,-2.21804,0.381339
-0.287722,-2.21662,0.385177
-0.289015,-2.21365,0.382011
-0.291334,-2.20673,0.375646
-0.292684,-2.20475,0.372461
-0.294801,-2.20871,0.36962
-0.303404,-2.20429,0.372826
-0.301663,-2.2033,0.375906
-0.300284,-2.20528,0.379189
-0.300431,-2.21813,0.383047
-0.292699,-2.22849,0.379873
-0.283693,-2.22991,0.376198
-0.284915,-2.22694,0.373064
-0.275877,-2.22833,0.369486
-0.274682,-2.2313,0.372521
-0.266834,-2.22966,0.365907
-0.26379,-2.21777,0.36811
-0.259947,-2.21183,0.373193
-0.260157,-2.20093,0.36993
-0.262075,-2.20059,0.385453
-0.270753,-2.19923,0.389557
-0.267252,-2.20022,0.395281
-0.268191,-2.19329,0.392013
-0.264236,-2.19131,0.397522
-0.263143,-2.19725,0.400642
-0.260768,-2.19329,0.403071
-0.257921,-2.18637,0.405368
-0.266268,-2.18497,0.40998
-0.269191,-2.19189,0.407608
-0.271627,-2.19585,0.4051
-0.272743,-2.18991,0.40188
-0.276796,-2.19189,0.396194
-0.279424,-2.19783,0.393659
-0.27584,-2.19882,0.399566
-0.284421,-2.19737,0.403849
-0.285395,-2.19045,0.400372
-0.281244,-2.18847,0.406235
-0.280106,-2.1944,0.409555
-0.277608,-2.19045,0.412142
-0.274611,-2.18353,0.414588
-0.271396,-2.19045,0.420821
-0.269731,-2.1944,0.424049
-0.278228,-2.19489,0.429097
-0.27966,-2.18896,0.425615
-0.287919,-2.18744,0.430407
-0.296171,-2.18587,0.435195
-0.29823,-2.18546,0.414937
-0.300847,-2.18941,0.412057
-0.302577,-2.18744,0.40872
-0.303368,-2.17954,0.405016
-0.294768,-2.18106,0.400948
-0.293989,-2.18896,0.404548
-0.292296,-2.19094,0.40779
-0.28974,-2.18699,0.410587
-0.286162,-2.18254,0.396877
-0.289682,-2.1944,0.394572
-0.298377,-2.19292,0.398573
-0.307066,-2.19139,0.402571
-0.307597,-2.18982,0.419722
-0.309392,-2.18784,0.416322
-0.314579,-2.20856,0.4145
-0.318602,-2.20856,0.407836
-0.322035,-2.21546,0.404201
-0.331174,-2.2158,0.408262
-0.328124,-2.21186,0.412206
-0.340005,-2.21413,0.412189
-0.336888,-2.21019,0.416239
-0.332683,-2.21019,0.423286
-0.343181,-2.2065,0.423773
-0.345807,-2.20946,0.420341
-0.348503,-2.21044,0.415973
-0.357646,-2.21065,0.420035
-0.354561,-2.2077,0.42437
-0.35188,-2.20475,0.427889
-0.350838,-2.21163,0.432097
-0.34955,-2.21753,0.43628
-0.360858,-2.21769,0.436948
-0.357702,-2.21278,0.440356
-0.366337,-2.21093,0.444666
-0.363605,-2.20897,0.44835
-0.360878,-2.20701,0.451938
-0.358814,-2.20897,0.455808
-0.354942,-2.20111,0.458896
-0.35256,-2.2021,0.462732
-0.35085,-2.20701,0.466845
-0.348486,-2.20897,0.470818
-0.342517,-2.20885,0.46201
-0.340199,-2.21081,0.465889
-0.333861,-2.20868,0.456992
-0.33269,-2.21753,0.461411
-0.33214,-2.22933,0.465828
-0.329838,-2.2313,0.469506
-0.327361,-2.23228,0.473044
-0.319144,-2.23406,0.467806
-0.321723,-2.23406,0.464449
-0.325503,-2.24194,0.461765
-0.317887,-2.2486,0.457119
-0.315663,-2.25057,0.460638
-0.309501,-2.2503,0.452018
-0.307325,-2.25227,0.455445
-0.301109,-2.25196,0.446913
-0.29898,-2.25393,0.450247
-0.2932,-2.23026,0.451287
-0.301403,-2.22862,0.456516
-0.309599,-2.22693,0.461742
-0.306343,-2.22201,0.464479
-0.314461,-2.22028,0.469774
-0.322572,-2.21852,0.475064
-0.318733,-2.21065,0.477553
-0.316545,-2.2136,0.48109
-0.308561,-2.21536,0.475648
-0.297734,-2.2161,0.473305
-0.295174,-2.21708,0.476545
-0.299851,-2.21216,0.469722
-0.291591,-2.21186,0.464096
-0.288544,-2.2089,0.466918
-0.283066,-2.20954,0.458295
-0.285343,-2.20856,0.455307
-0.288979,-2.21743,0.453174
-0.280872,-2.21902,0.447886
-0.283631,-2.22199,0.445211
-0.272365,-2.21761,0.442345
-0.274526,-2.21662,0.439424
-0.275744,-2.20872,0.435891
-0.278676,-2.21366,0.433366
-0.289228,-2.2131,0.435592
-0.287063,-2.2131,0.438466
-0.277322,-2.21014,0.449959
-0.275097,-2.21113,0.452862
-0.269296,-2.21168,0.444607
-0.267122,-2.21267,0.447426
-0.270291,-2.21417,0.428268
-0.266265,-2.20033,0.430011
-0.263535,-2.19638,0.43247
-0.261187,-2.19539,0.435113
-0.261499,-2.19585,0.419153
-0.263126,-2.19189,0.416023
-0.262566,-2.17211,0.411868
-0.27081,-2.17068,0.416537
-0.279048,-2.16921,0.421203
-0.283121,-2.16822,0.415159
-0.283999,-2.16032,0.411677
-0.27979,-2.15933,0.417503
-0.288034,-2.15782,0.422058
-0.292341,-2.15881,0.41606
-0.291447,-2.16671,0.419644
-0.287281,-2.1677,0.425866
-0.295508,-2.16614,0.430526
-0.299767,-2.16515,0.424126
-0.300676,-2.15726,0.42044
-0.296272,-2.15628,0.426609
-0.248437,-2.15925,0.42689
-0.251322,-2.16519,0.424764
-0.254209,-2.17112,0.422576
-0.255825,-2.16716,0.419585
-0.243353,-2.16657,0.419684
-0.247497,-2.16657,0.414524
-0.246165,-2.17251,0.417566
-0.238116,-2.17386,0.412554
-0.239418,-2.16791,0.40961
-0.235379,-2.16791,0.414601
-0.232643,-2.16197,0.416591
-0.231554,-2.16989,0.419557
-0.239429,-2.16855,0.424808
-0.236972,-2.16558,0.427002
-0.234625,-2.16459,0.429445
-0.244777,-2.1642,0.432322
-0.24237,-2.16321,0.434846
-0.252577,-2.16277,0.437639
-0.250109,-2.16178,0.440244
-0.247299,-2.16716,0.430056
-0.256181,-2.17365,0.435958
-0.250373,-2.18254,0.444695
-0.248402,-2.18551,0.44754
-0.246832,-2.19243,0.450785
-0.243771,-2.18748,0.452929
-0.240694,-2.18695,0.44192
-0.242618,-2.18398,0.439163
-0.234857,-2.18537,0.433627
-0.23298,-2.18834,0.436297
-0.231714,-2.19725,0.43951
-0.224024,-2.19862,0.433779
-0.2288,-2.20159,0.429269
-0.230891,-2.20059,0.426755
-0.232165,-2.19267,0.423662
-0.229912,-2.19102,0.411064
-0.221848,-2.19229,0.405924
-0.213779,-2.19352,0.400781
-0.211277,-2.20543,0.40596
-0.20979,-2.20939,0.40838
-0.213803,-2.21138,0.404194
-0.217705,-2.21237,0.399759
-0.219373,-2.21039,0.397326
-0.220368,-2.20344,0.394692
-0.221808,-2.19947,0.392052
-0.224022,-2.20344,0.389982
-0.226251,-2.20741,0.387837
-0.230274,-2.21237,0.383349
-0.221726,-2.21357,0.378858
-0.217818,-2.20861,0.383178
-0.215653,-2.20464,0.385243
